 Branch,Department,  Year ,  Sales Amount_2019,Year,  Sales Amount_2020,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"269,045.00",2020,43665,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,3972,2020,"175,131.00",,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"676,740.00",2020,"353,66",,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"73,555.00",2020,"534,5",,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,34745,2020,"5 189,593.00",,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"62,880.00",2020,448377,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"4,544,702.00",2020,10001,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"294,764.00",2020,195671,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"37,044.00",2020,668,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"2,854,709.00",2020,145610,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"588,50",2020,760140,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"40,62,9",2020,64379,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"4,270",2020,745980,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"749097,",2020,4751371,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"4,058,852.00",2020,60568,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"3,4,9,7",2020,1017104,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,",592243",2020,105474,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"2,028,845.00",2020,149519,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"6,635,748.00",2020,1599384,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"2,997,824.00",2020,3855944,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"4,675,252.00",2020,1773046,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"2,974,095.00",2020,1499541,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"942,499.00",2020,180173,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"249,348.00",2020,310773,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"723,800.00",2020,777995,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"395,323.00",2020,1081436,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"448935,",2020,1800193,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"229,953.00",2020,53379,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"5,778,878.00",2020,11718,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"557,868.00",2020,1881799,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"3,365,467.00",2020,1716097,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,373320,2020,447179,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,"3,423,394.00",2020,348512,,,,,,,,,,,,,
Agrabad,Food and Beverage,2019,1730,2020,789641,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,478509,2020,438,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,440707,2020,1430456,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,92382,2020,"360,111.00",,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,4765,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,1194706,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,450609,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,6457179,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,887,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,14320976,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,36800,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,34567,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,476,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,3423394,2020,1196573,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,56862,2020,8759554,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,86768,2020,45632,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,329938,2020,1195435,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,460952,2020,1195435,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,35432990,2020,1195435,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,86768,2020,875685,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,460953,2020,875685,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,223528,2020,875685,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,242575,2020,,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,8751252,2020,875685,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,559752,2020,78554,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,215566,2020,78554,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,2558,2020,78554,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,5562,2020,78554,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,4552,2020,11345877,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,5248,2020,11345877,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,2486225,2020,11345877,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,22545,2020,11345877,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,36524,2020,11345877,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,542268,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,581423,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,536556,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,7844584,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,7844584,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,7844584,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,7844584,2020,4698367,,,,,,,,,,,,,
Bagura,Food and Beverage,2019,7844584,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,78452954,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,78452954,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,78452954,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,78452954,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,78452954,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854,2020,4698367,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854,2020,758,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854,2020,758,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854,2020,758,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,785555,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,785555,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,785555,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,785555,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,785555,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,329248,,,,,,,,,,,,,
Banani,Food and Beverage,2019,7854522,2020,1072936,,,,,,,,,,,,,
Banani,Food and Beverage,2019,457,2020,1081666,,,,,,,,,,,,,
Banani,Food and Beverage,2019,457,2020,639167,,,,,,,,,,,,,
Banani,Food and Beverage,2019,457,2020,144616,,,,,,,,,,,,,
Banani,Food and Beverage,2019,5698,2020,655469,,,,,,,,,,,,,
Banani,Food and Beverage,2019,5698,2020,653921,,,,,,,,,,,,,
Banani,Food and Beverage,2019,5698,2020,352665,,,,,,,,,,,,,
Banani,Food and Beverage,2019,5698,2020,1149733,,,,,,,,,,,,,
Banani,Food and Beverage,2019,265100,2020,1140499,,,,,,,,,,,,,
Banani,Food and Beverage,2019,319539,2020,294583,,,,,,,,,,,,,
Banani,Food and Beverage,2019,445794,2020,230351,,,,,,,,,,,,,
Banani,Food and Beverage,2019,137387,2020,716070,,,,,,,,,,,,,
Banani,Food and Beverage,2019,218004,2020,622164,,,,,,,,,,,,,
Banani,Food and Beverage,2019,429446,2020,199230,,,,,,,,,,,,,
Banani,Food and Beverage,2019,210583,2020,853842,,,,,,,,,,,,,
Banani,Food and Beverage,2019,179316,2020,599206,,,,,,,,,,,,,
Banani,Food and Beverage,2019,347671,2020,428508,,,,,,,,,,,,,
Banani,Food and Beverage,2019,448946,2020,494786,,,,,,,,,,,,,
Banani,Food and Beverage,2019,123860,2020,894917,,,,,,,,,,,,,
Banani,Food and Beverage,2019,298512,2020,314886,,,,,,,,,,,,,
Banani,Food and Beverage,2019,390724,2020,153691,,,,,,,,,,,,,
Banani,Food and Beverage,2019,390179,2020,671962,,,,,,,,,,,,,
Banani,Food and Beverage,2019,439157,2020,837893,,,,,,,,,,,,,
Banani,Food and Beverage,2019,286772,2020,1049195,,,,,,,,,,,,,
Banani,Food and Beverage,2019,389236,2020,1018563,,,,,,,,,,,,,
Banani,Food and Beverage,2019,314574,2020,627269,,,,,,,,,,,,,
Banani,Food and Beverage,2019,338590,2020,1045033,,,,,,,,,,,,,
Banani,Food and Beverage,2019,255789,2020,342661,,,,,,,,,,,,,
Banani,Food and Beverage,2019,256362,2020,271687,,,,,,,,,,,,,
Banani,Food and Beverage,2019,412238,2020,249352,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,141690,2020,414725,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,267625,2020,147428,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,271487,2020,212848,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,178051,2020,303227,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,189168,2020,367286,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,341834,2020,595674,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,271374,2020,509505,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,377463,2020,905454,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,122702,2020,671887,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,371876,2020,140700,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,400582,2020,550814,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,360946,2020,455511,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,258129,2020,783056,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,299372,2020,782845,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,349654,2020,417271,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,200853,2020,150151,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,302104,2020,891085,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,212412,2020,141106,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,439866,2020,1034808,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,150191,2020,687686,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,354850,2020,234072,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,155649,2020,1145887,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,210804,2020,1136691,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,353932,2020,190893,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,303292,2020,630530,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,192379,2020,175142,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,315755,2020,1026657,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,177091,2020,828681,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,226520,2020,776859,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,229879,2020,925374,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,392475,2020,254710,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,135310,2020,818421,,,,,,,,,,,,,
